Student_ID,Hours_Study,Sleep_Hours,Internships,Projects,CGPA,Placement_Score,Placed
STU_0040,5.9,7.7,1,3,7.96,100.0,1
STU_0041,6.8,7.8,2,4,6.74,100.0,1
STU_0042,5.8,5.2,5,2,7.62,100.0,1
STU_0043,5.3,,1,1,7.3,100.0,1
STU_0044,5.0,6.2,1,3,6.95,100.0,1
STU_0045,2.8,,2,5,7.96,100.0,1
STU_0046,4.2,8.5,1,6,8.24,100.0,1
STU_0047,4.7,4.7,5,4,8.1,100.0,1
STU_0048,7.4,7.2,2,0,7.68,100.0,1
STU_0049,6.1,8.5,0,5,8.29,100.0,1
STU_0050,2.3,7.0,1,1,8.09,100.0,1
STU_0051,6.1,8.1,2,2,7.92,100.0,1
STU_0052,4.8,7.6,1,2,8.0,100.0,1
STU_0053,4.3,7.6,2,3,9.22,100.0,1
STU_0054,6.6,6.9,1,3,6.35,100.0,1
STU_0055,7.4,5.7,0,4,7.42,100.0,1
STU_0056,7.2,5.9,0,1,8.21,100.0,1
STU_0057,4.0,8.1,4,2,5.9,100.0,1
STU_0058,4.9,7.2,1,3,9.46,100.0,1
STU_0059,6.1,7.0,2,4,8.11,100.0,1
STU_0060,7.3,6.7,1,6,8.95,100.0,0
STU_0061,4.6,6.8,1,3,9.14,100.0,1
STU_0062,5.2,8.5,1,0,8.29,100.0,1
STU_0063,3.5,6.8,1,5,5.12,100.0,1
STU_0064,3.3,5.6,3,1,7.98,100.0,1
STU_0065,7.0,8.1,1,2,8.05,100.0,1
STU_0066,15.8,7.0,3,6,9.75,100.0,1
STU_0067,5.4,7.2,1,4,5.65,100.0,1
STU_0068,7.3,9.1,2,3,8.35,100.0,1
STU_0069,6.2,7.2,1,10,6.3,100.0,1
STU_0070,4.3,7.5,3,5,10.27,100.0,1
STU_0071,6.2,5.8,2,3,8.12,100.0,1
STU_0072,8.3,6.9,1,7,9.42,100.0,1
STU_0073,5.4,7.9,3,5,7.84,100.0,1
STU_0074,8.3,5.3,2,2,8.7,100.0,1
STU_0075,0.8,7.4,1,7,7.86,100.0,1
STU_0076,7.0,7.3,3,1,9.01,100.0,1
STU_0077,5.7,7.2,0,6,5.35,96.6,1
STU_0078,5.0,8.4,4,3,8.87,100.0,1
STU_0079,5.7,7.6,1,6,8.6,100.0,1
STU_0080,1.9,9.0,3,6,7.62,100.0,1
STU_0081,5.1,6.0,0,3,7.31,100.0,1
STU_0082,6.1,7.4,1,2,7.44,100.0,1
STU_0083,16.4,7.3,4,5,10.0,100.0,1
STU_0084,4.6,5.9,2,4,9.26,100.0,1
STU_0085,4.0,8.3,3,3,7.16,100.0,1
STU_0086,4.6,10.0,2,1,5.76,90.7,1
STU_0087,7.1,7.2,5,2,10.78,100.0,1
STU_0088,6.1,7.8,4,3,8.61,100.0,1
STU_0089,4.5,7.3,2,2,7.33,100.0,1
STU_0090,6.4,6.3,1,4,9.23,100.0,1
STU_0091,5.7,5.0,2,3,8.92,100.0,1
STU_0092,7.2,6.4,3,3,8.39,100.0,1
STU_0093,8.4,5.5,2,0,10.0,100.0,1
STU_0094,4.9,9.2,3,1,8.6,100.0,1
STU_0095,4.8,7.1,2,3,9.11,100.0,1
STU_0096,2.9,,1,0,5.74,91.0,1
STU_0097,12.0,8.3,1,2,10.0,100.0,1
STU_0098,6.0,5.9,2,4,8.16,100.0,0
STU_0099,5.5,6.3,2,3,8.12,100.0,1
STU_0100,5.1,7.3,1,3,7.86,100.0,1
STU_0101,3.0,8.4,1,1,9.22,100.0,1
STU_0102,4.7,,3,2,7.55,100.0,1
STU_0103,4.9,7.5,4,2,7.8,100.0,1
STU_0104,4.1,7.3,1,0,8.18,100.0,1
STU_0105,5.2,7.7,0,3,7.59,100.0,1
STU_0106,6.2,7.4,1,3,6.14,100.0,1
STU_0107,8.9,6.0,0,3,8.06,100.0,1
STU_0108,5.8,7.3,1,3,8.07,100.0,1
STU_0109,6.0,5.9,2,1,7.36,100.0,1
STU_0110,5.4,7.3,3,3,7.64,100.0,1
STU_0111,2.0,6.6,2,4,3.98,99.0,1
STU_0112,5.5,10.2,0,4,9.25,100.0,1
STU_0113,5.6,7.2,1,7,8.88,100.0,1
STU_0114,9.9,5.5,1,2,6.19,100.0,1
STU_0115,5.2,7.0,0,10,6.99,100.0,1
STU_0116,12.0,7.8,4,1,10.0,100.0,1
STU_0117,5.4,9.2,1,0,6.41,100.0,1
STU_0118,3.4,6.5,2,3,8.37,100.0,1
STU_0119,7.6,5.3,0,4,7.21,100.0,1
STU_0120,6.9,8.2,4,4,8.29,100.0,1
STU_0121,6.9,5.5,0,2,7.86,100.0,1
STU_0122,3.9,6.7,1,3,7.46,100.0,1
STU_0123,8.0,6.9,2,1,8.27,100.0,1
STU_0124,3.0,7.1,3,3,7.21,100.0,1
STU_0125,6.6,8.0,1,5,5.66,100.0,1
STU_0126,9.4,6.4,2,2,6.69,100.0,1
STU_0127,3.7,6.9,4,4,6.54,100.0,1
STU_0128,4.5,7.2,6,1,5.88,100.0,1
STU_0129,5.7,7.4,0,1,8.24,100.0,1
STU_0130,4.6,7.3,1,2,7.59,100.0,1
STU_0131,2.7,7.7,1,5,8.22,100.0,1
STU_0132,5.6,8.2,1,3,8.42,100.0,1
STU_0133,3.6,7.7,0,1,8.71,100.0,1
STU_0134,6.4,7.7,0,1,8.29,100.0,1
STU_0135,3.8,5.3,2,5,6.62,100.0,1
STU_0136,8.3,7.3,3,2,8.5,100.0,1
STU_0137,4.1,7.8,4,4,8.07,100.0,1
STU_0138,4.9,8.1,4,5,10.43,100.0,1
STU_0139,7.0,6.4,2,5,7.81,100.0,1
STU_0140,3.3,6.4,1,4,8.26,100.0,0
STU_0141,5.9,6.5,0,0,7.69,100.0,1
STU_0142,7.9,7.8,3,2,7.86,100.0,1
STU_0143,2.6,8.4,2,3,7.78,100.0,1
STU_0144,5.8,6.7,4,4,,100.0,1
STU_0145,6.0,8.3,2,4,8.01,100.0,1
STU_0146,6.9,7.3,5,3,8.55,100.0,1
STU_0147,3.3,7.1,2,2,7.3,100.0,1
STU_0148,3.1,6.9,2,1,8.8,100.0,1
STU_0149,6.4,8.1,0,8,8.66,100.0,1
STU_0150,6.0,7.6,3,4,6.74,100.0,1
STU_0151,6.0,9.9,1,1,6.64,100.0,1
STU_0152,6.1,6.2,1,3,8.34,100.0,1
STU_0153,4.3,7.8,2,5,7.09,100.0,1
STU_0154,5.9,6.6,0,1,6.55,100.0,1
STU_0155,6.0,6.2,1,3,9.86,100.0,1
STU_0156,4.2,7.2,1,5,6.64,100.0,1
STU_0157,8.9,7.4,1,1,5.97,100.0,0
STU_0158,6.4,10.7,3,4,6.86,100.0,1
STU_0159,3.4,7.0,2,1,8.08,77.5,0
STU_0160,6.7,5.8,1,6,7.89,100.0,1
STU_0161,3.7,7.5,2,4,10.06,100.0,1
STU_0162,6.9,4.7,3,3,6.88,100.0,1
STU_0163,7.6,7.1,1,5,8.08,100.0,1
STU_0164,4.0,7.2,0,0,9.15,100.0,1
STU_0165,7.2,8.2,1,2,7.01,100.0,1
STU_0166,6.2,8.4,0,4,8.64,100.0,1
STU_0167,7.0,6.6,1,2,5.6,98.1,1
STU_0168,8.9,7.0,1,2,9.91,100.0,1
STU_0169,,6.3,1,3,8.99,100.0,1
STU_0170,4.1,5.8,2,4,6.98,100.0,1
STU_0171,7.8,7.6,2,2,10.0,100.0,1
STU_0172,4.0,5.7,1,4,9.38,100.0,1
STU_0173,5.4,6.7,2,5,6.25,100.0,0
STU_0174,6.1,6.0,0,2,7.08,100.0,1
STU_0175,6.0,7.9,0,3,9.42,100.0,1
STU_0176,7.0,9.4,5,4,7.88,100.0,1
STU_0177,5.5,5.6,0,3,8.32,100.0,1
STU_0178,8.1,5.0,0,2,7.88,100.0,1
STU_0179,5.0,7.1,1,4,8.87,100.0,1
STU_0180,10.4,7.2,0,5,,100.0,1
STU_0181,6.6,7.5,1,3,7.93,100.0,1
STU_0182,4.0,6.7,1,3,5.28,100.0,1
STU_0183,3.6,,3,4,8.57,100.0,1
STU_0184,6.4,7.6,1,7,8.68,100.0,1
STU_0185,5.1,8.4,1,3,6.31,100.0,1
STU_0186,6.8,4.9,3,4,6.39,100.0,1
STU_0187,6.4,6.8,2,3,8.42,100.0,1
STU_0188,5.4,7.5,3,5,8.03,100.0,1
STU_0189,4.0,6.1,1,3,5.43,100.0,1
STU_0190,2.8,9.3,0,2,6.81,100.0,1
STU_0191,4.7,6.4,0,3,8.18,100.0,1
STU_0192,7.0,7.2,1,3,8.61,100.0,1
STU_0193,5.9,7.9,5,1,,100.0,1
STU_0194,3.3,,1,1,7.62,100.0,1
STU_0195,5.8,5.0,4,3,6.74,100.0,0
STU_0196,6.2,6.7,1,1,9.39,100.0,1
STU_0197,3.9,8.4,0,4,8.01,100.0,1
STU_0198,5.8,6.8,3,2,7.0,100.0,1
STU_0199,5.6,6.2,3,2,6.41,100.0,1
STU_0200,3.4,8.3,2,3,6.28,100.0,1
STU_0201,6.1,6.8,2,2,9.97,100.0,1
STU_0202,6.5,6.6,1,1,7.59,100.0,1
STU_0203,7.4,7.4,3,3,7.32,100.0,1
STU_0204,7.4,8.1,4,2,7.54,100.0,1
STU_0205,3.0,10.1,2,2,7.04,100.0,1
STU_0206,3.8,8.2,1,2,7.67,99.3,1
STU_0207,6.4,8.6,2,5,7.84,100.0,1
STU_0208,6.4,6.6,2,2,7.82,100.0,1
STU_0209,6.4,6.0,3,2,6.28,100.0,1
STU_0210,12.4,7.3,0,3,8.87,100.0,1
STU_0211,6.5,7.3,0,3,7.14,100.0,1
STU_0212,7.5,5.9,3,4,7.01,100.0,1
STU_0213,7.2,7.0,1,3,6.96,100.0,1
STU_0214,6.7,7.7,2,4,6.54,100.0,1
STU_0215,4.9,7.6,1,4,8.12,100.0,1
STU_0216,6.9,7.8,1,0,8.87,100.0,1
STU_0217,4.1,,0,3,6.93,100.0,1
STU_0218,5.1,6.6,1,3,5.59,100.0,1
STU_0219,4.6,6.6,1,1,6.57,100.0,1
STU_0220,5.6,5.8,2,3,7.26,100.0,1
STU_0221,9.7,9.3,2,2,6.32,100.0,1
STU_0222,2.1,7.2,3,0,7.08,100.0,1
STU_0223,6.7,6.9,1,0,7.14,100.0,1
STU_0224,2.6,6.1,2,2,7.78,100.0,1
STU_0225,4.7,10.7,2,4,6.05,100.0,1
STU_0226,,5.9,2,2,8.5,100.0,1
STU_0227,5.6,6.7,1,4,9.79,100.0,1
STU_0228,3.6,7.7,4,1,9.51,100.0,1
STU_0229,4.2,7.9,1,3,7.1,100.0,1
STU_0230,6.7,8.3,0,3,8.6,100.0,1
STU_0231,4.2,9.4,1,0,8.46,100.0,1
STU_0232,5.9,7.8,1,1,7.75,100.0,1
STU_0233,5.6,5.9,3,4,8.01,100.0,1
STU_0234,4.3,6.9,1,4,8.62,100.0,1
STU_0235,9.4,7.6,4,0,8.86,100.0,1
STU_0236,6.6,9.7,3,1,6.83,100.0,1
STU_0237,1.9,5.5,1,4,8.7,100.0,1
STU_0238,5.8,8.6,2,3,9.8,100.0,1
STU_0239,4.3,,1,6,8.86,100.0,1
STU_0240,7.0,,3,5,9.64,100.0,1
STU_0241,4.1,7.1,3,4,4.7,100.0,1
STU_0242,5.3,6.2,1,3,8.51,100.0,1
STU_0243,6.4,8.1,2,2,8.12,100.0,1
STU_0244,7.1,8.0,1,2,9.03,100.0,1
STU_0245,6.6,8.4,4,1,9.675,100.0,1
STU_0246,4.9,7.2,1,6,7.19,100.0,1
STU_0247,4.6,6.5,1,1,8.88,100.0,0
STU_0248,4.3,5.3,2,5,6.53,100.0,1
STU_0249,8.7,8.2,2,3,8.09,100.0,1
STU_0250,6.2,7.7,3,1,7.78,100.0,1
STU_0251,3.2,6.0,2,5,7.56,100.0,1
STU_0252,7.2,6.6,1,2,8.49,100.0,1
STU_0253,18.6,6.6,3,4,9.69,100.0,1
STU_0254,14.8,5.4,1,1,10.0,100.0,1
STU_0255,2.8,6.2,1,4,7.63,100.0,1
STU_0256,4.6,5.8,1,7,6.36,100.0,1
STU_0257,15.6,6.7,4,4,10.0,100.0,1
STU_0258,4.2,6.3,0,0,6.84,66.4,0
STU_0259,6.3,5.2,2,4,8.74,100.0,1
STU_0260,6.9,9.6,4,6,6.75,100.0,1
STU_0261,3.8,8.7,0,2,8.65,100.0,1
STU_0262,5.4,6.3,2,4,5.87,100.0,1
STU_0263,-0.3,7.5,2,1,9.49,100.0,1
STU_0264,3.7,7.7,1,2,9.16,100.0,1
STU_0265,5.0,8.6,0,2,7.14,100.0,1
STU_0266,6.6,6.2,1,1,10.0,97.8,1
STU_0267,8.4,8.5,1,4,8.35,100.0,0
STU_0268,2.9,6.5,1,3,5.97,99.9,1
STU_0269,4.7,5.6,1,1,7.84,100.0,1
STU_0270,5.7,8.1,0,5,6.83,100.0,1
STU_0271,8.1,8.7,3,6,7.49,100.0,1
STU_0272,2.9,10.3,1,5,7.03,100.0,1
STU_0273,7.6,5.8,2,4,6.84,100.0,1
STU_0274,5.5,8.0,1,3,9.85,100.0,1
STU_0275,3.7,6.7,1,4,8.74,100.0,0
STU_0276,6.3,8.1,0,3,6.02,100.0,1
STU_0277,5.9,5.4,2,0,6.75,100.0,1
STU_0278,4.4,5.7,4,4,8.83,100.0,1
STU_0279,5.6,6.3,4,3,8.96,100.0,1
STU_0280,4.8,7.3,2,3,6.14,100.0,1
STU_0281,5.7,6.4,0,3,8.64,100.0,1
STU_0282,6.7,8.0,2,0,8.12,100.0,1
STU_0283,8.4,8.4,2,0,5.47,95.8,1
STU_0284,3.3,7.9,3,3,7.32,100.0,1
STU_0285,9.3,9.1,3,6,7.64,100.0,1
STU_0286,2.0,7.7,3,6,7.86,100.0,1
STU_0287,5.2,5.7,1,3,6.22,100.0,1
STU_0288,6.6,8.8,2,5,6.88,100.0,1
STU_0289,6.0,6.5,2,3,7.05,100.0,1
STU_0290,4.4,8.3,0,2,7.16,100.0,1
STU_0291,5.1,9.1,3,2,7.18,100.0,1
STU_0292,4.6,7.7,3,4,7.64,100.0,1
STU_0293,4.4,5.4,2,3,8.17,100.0,1
STU_0294,7.0,6.1,1,6,9.93,100.0,0
STU_0295,6.1,8.8,1,5,,100.0,1
STU_0296,4.3,7.0,1,4,9.38,100.0,1
STU_0297,7.1,7.3,0,4,7.22,100.0,1
STU_0298,6.1,8.1,0,6,6.6,100.0,1
STU_0299,7.0,8.0,4,4,8.76,100.0,1
STU_0300,6.6,7.5,1,2,7.78,100.0,1
STU_0301,4.0,6.9,4,3,8.68,100.0,1
STU_0302,4.5,6.8,2,5,6.74,100.0,1
STU_0303,6.8,8.2,1,2,8.58,100.0,1
STU_0304,6.6,7.9,3,3,7.59,100.0,1
STU_0305,5.5,6.9,2,2,7.25,100.0,1
STU_0306,5.7,8.5,1,6,7.36,100.0,1
STU_0307,7.8,7.0,0,1,8.39,100.0,1
STU_0308,4.4,6.2,0,2,8.73,100.0,0
STU_0309,6.5,6.3,3,3,7.36,100.0,1
STU_0310,5.1,6.0,4,5,8.21,100.0,1
STU_0311,5.1,6.9,0,2,8.21,81.7,1
STU_0312,7.5,8.7,3,2,8.69,100.0,1
STU_0313,7.0,6.2,1,3,8.98,100.0,1
STU_0314,7.0,7.4,1,3,9.97,100.0,1
STU_0315,7.8,6.4,4,3,7.24,100.0,1
STU_0316,5.5,6.9,1,0,9.55,100.0,1
STU_0317,6.7,5.4,2,5,,100.0,1
STU_0318,4.9,6.9,1,6,6.49,100.0,1
STU_0319,6.1,7.0,1,3,,98.5,1
STU_0320,5.3,7.8,3,3,8.36,100.0,1
STU_0321,5.7,7.5,1,4,8.67,100.0,1
STU_0322,6.6,5.8,2,2,6.58,100.0,1
STU_0323,4.0,8.5,3,1,6.88,100.0,1
STU_0324,9.3,7.5,2,2,7.16,100.0,1
STU_0325,3.7,7.4,2,4,6.76,100.0,1
STU_0326,3.3,7.2,1,3,5.54,100.0,1
STU_0327,7.6,6.6,0,3,,85.5,1
STU_0328,6.9,7.5,1,2,7.34,100.0,1
STU_0329,6.6,7.8,2,3,8.1,100.0,1
STU_0330,6.6,5.1,2,5,8.59,100.0,1
STU_0331,5.5,6.6,3,4,6.17,100.0,1
STU_0332,3.9,6.9,0,3,6.19,100.0,0
STU_0333,5.6,7.5,4,0,7.17,100.0,1
STU_0334,4.3,8.6,3,4,7.8,100.0,1
STU_0335,7.3,6.3,0,5,9.01,100.0,1
STU_0336,5.2,,1,3,8.66,100.0,1
STU_0337,4.0,6.6,1,5,7.36,100.0,1
STU_0338,4.9,6.2,1,1,8.23,97.5,1
STU_0339,6.2,6.8,0,4,6.79,100.0,1
STU_0340,4.5,8.1,1,3,7.89,100.0,1
STU_0341,4.0,5.9,3,1,7.73,100.0,1
STU_0342,11.8,7.7,2,0,10.0,100.0,1
STU_0343,5.9,5.2,0,3,8.39,100.0,1
STU_0344,,6.5,2,2,6.88,81.1,1
STU_0345,4.7,6.8,2,2,6.89,100.0,1
STU_0346,5.9,9.2,0,3,7.4,100.0,1
STU_0347,2.9,6.9,2,2,5.92,83.8,1
STU_0348,3.0,4.6,3,3,7.52,100.0,1
STU_0349,4.2,4.8,0,3,7.63,100.0,1
STU_0350,5.1,7.2,2,2,8.36,100.0,1
STU_0351,6.1,7.9,1,4,8.53,100.0,1
STU_0352,8.2,7.7,0,2,7.92,100.0,1
STU_0353,7.0,7.4,1,3,5.84,100.0,1
STU_0354,5.2,8.6,3,3,6.33,100.0,1
STU_0355,11.0,6.6,1,2,10.0,100.0,1
STU_0356,3.7,8.3,2,4,8.58,100.0,1
STU_0357,5.5,5.2,0,4,8.54,100.0,1
STU_0358,5.0,6.1,0,3,7.5,100.0,1
STU_0359,6.1,5.0,4,2,10.63,100.0,1
STU_0360,4.0,6.9,3,3,9.67,100.0,1
STU_0361,6.4,7.1,3,3,9.29,100.0,1
STU_0362,8.3,7.3,3,2,8.64,100.0,1
STU_0363,5.3,7.3,1,5,8.35,100.0,1
STU_0364,6.2,6.1,0,2,8.26,100.0,1
STU_0365,6.7,7.0,3,4,5.63,100.0,1
STU_0366,4.8,5.4,1,3,6.54,100.0,1
STU_0367,5.9,8.8,0,2,7.53,100.0,0
STU_0368,5.5,6.8,2,5,7.95,100.0,1
STU_0369,5.7,6.6,3,5,7.65,100.0,1
STU_0370,4.1,9.1,3,2,8.13,100.0,1
STU_0371,5.5,5.7,0,2,5.28,100.0,1
STU_0372,6.4,5.8,0,4,8.41,100.0,1
STU_0373,8.1,5.9,2,2,7.87,100.0,1
STU_0374,7.2,7.1,2,3,7.58,100.0,1
STU_0375,9.4,7.7,4,5,8.91,100.0,1
STU_0376,4.1,8.1,1,1,6.55,85.1,1
STU_0377,7.1,10.3,2,4,7.52,100.0,1
STU_0378,5.8,4.5,2,3,8.14,100.0,1
STU_0379,9.4,7.9,1,5,6.78,100.0,1
STU_0380,4.0,6.5,1,0,5.4,80.3,1
STU_0381,4.0,6.5,2,3,6.42,100.0,1
STU_0382,4.4,6.5,0,2,7.72,100.0,1
STU_0383,1.7,6.1,4,2,7.5,100.0,1
STU_0384,4.6,9.2,0,7,7.78,100.0,1
STU_0385,4.1,8.2,1,4,7.01,100.0,1
STU_0386,5.8,7.2,3,2,6.23,100.0,1
STU_0387,6.1,8.8,1,0,7.96,100.0,1
STU_0388,8.9,5.4,1,2,7.6,100.0,1
STU_0389,7.2,5.6,2,3,8.57,100.0,1
STU_0390,4.5,4.6,0,2,6.9,100.0,1
STU_0391,3.9,6.4,2,2,5.37,100.0,1
STU_0392,6.4,7.4,4,2,4.67,100.0,1
STU_0393,3.1,7.3,1,3,7.32,100.0,1
STU_0394,8.8,7.4,1,4,7.95,100.0,0
STU_0395,7.6,5.5,3,2,7.52,100.0,1
STU_0396,4.7,8.2,2,4,7.12,100.0,1
STU_0397,2.4,7.5,2,4,5.89,100.0,1
STU_0398,7.9,8.1,2,2,5.53,100.0,1
STU_0399,5.3,4.9,3,4,8.24,100.0,1
STU_0400,7.7,7.6,1,7,7.53,100.0,1
STU_0401,2.6,5.8,1,5,7.36,100.0,1
STU_0402,4.4,6.7,1,4,5.95,97.6,1
STU_0403,5.5,7.8,2,0,6.64,100.0,1
STU_0404,5.6,7.3,1,3,7.85,100.0,1
STU_0405,4.7,6.2,0,1,8.14,100.0,1
STU_0406,6.6,7.2,1,5,7.6,100.0,1
STU_0407,3.6,5.4,3,5,9.46,100.0,1
STU_0408,5.2,8.6,2,3,7.11,100.0,1
STU_0409,5.7,7.0,6,2,,100.0,1
STU_0410,6.4,8.5,4,3,8.06,100.0,1
STU_0411,6.8,6.6,1,4,7.93,100.0,1
STU_0412,3.5,6.6,1,2,8.92,100.0,1
STU_0413,,6.3,1,3,7.05,100.0,1
STU_0414,7.8,8.3,2,2,7.4,100.0,1
STU_0415,6.1,6.3,1,2,6.33,100.0,1
STU_0416,4.2,8.0,8,1,8.92,100.0,1
STU_0417,8.3,6.7,3,1,8.2,100.0,1
STU_0418,5.7,4.8,1,5,,100.0,0
STU_0419,7.6,6.5,1,2,8.05,100.0,0
STU_0420,5.6,5.8,1,5,9.12,100.0,1
STU_0421,9.2,7.2,1,2,6.9,100.0,1
STU_0422,8.7,5.8,1,2,8.98,100.0,1
STU_0423,5.1,8.3,1,4,7.32,100.0,1
STU_0424,7.2,7.1,1,5,7.8,100.0,1
STU_0425,6.7,7.0,1,3,8.67,100.0,1
STU_0426,16.0,8.0,3,6,10.0,100.0,1
STU_0427,3.8,8.4,1,1,8.78,100.0,1
STU_0428,6.7,7.2,0,4,8.9,100.0,1
STU_0429,7.4,6.3,2,0,7.15,100.0,1
STU_0430,2.3,5.1,4,0,7.99,99.7,1
STU_0431,3.4,6.4,3,5,7.68,100.0,1
STU_0432,1.8,6.5,1,2,9.49,100.0,1
STU_0433,5.0,7.3,0,4,7.62,100.0,1
STU_0434,6.8,6.8,1,5,9.39,100.0,1
STU_0435,8.2,8.0,3,5,6.24,100.0,1
STU_0436,5.6,6.5,0,5,9.48,100.0,1
STU_0437,8.4,7.1,2,3,6.77,100.0,1
STU_0438,3.0,8.6,2,5,8.82,100.0,1
STU_0439,4.8,7.6,3,5,10.0,100.0,1
STU_0440,5.4,7.1,1,0,8.54,100.0,1
STU_0441,6.2,6.5,4,4,,100.0,1
STU_0442,5.4,6.4,3,1,9.04,100.0,1
STU_0443,1.8,6.2,3,6,8.81,100.0,1
STU_0444,5.3,6.6,2,3,7.08,100.0,1
STU_0445,3.2,8.1,3,4,8.49,100.0,1
STU_0446,6.7,6.9,0,1,8.94,100.0,1
STU_0447,6.2,5.6,2,4,6.69,100.0,1
STU_0448,3.8,9.3,0,7,6.56,100.0,1
STU_0449,4.6,7.6,1,2,6.51,100.0,1
STU_0450,3.6,5.5,4,5,6.34,100.0,1
STU_0451,5.4,6.7,2,4,6.51,100.0,1
STU_0452,14.4,7.3,1,6,,100.0,1
STU_0453,3.7,9.2,2,2,8.47,100.0,1
STU_0454,6.4,5.9,2,5,5.76,100.0,1
STU_0455,4.5,8.4,1,3,7.19,100.0,1
STU_0456,4.1,8.9,3,3,6.41,100.0,1
STU_0457,5.3,6.4,4,3,8.83,100.0,1
STU_0458,3.6,6.9,3,2,7.26,100.0,1
STU_0459,4.5,6.0,0,2,5.95,65.9,0
STU_0460,3.3,7.0,1,5,8.0,100.0,0
STU_0461,9.0,7.2,1,2,8.53,100.0,1
STU_0462,5.6,,0,5,6.66,100.0,1
STU_0463,4.2,,0,3,7.48,100.0,1
STU_0464,5.9,6.3,3,3,6.72,100.0,1
STU_0465,5.3,4.8,0,1,9.29,100.0,1
STU_0466,5.1,7.2,2,4,7.28,100.0,1
STU_0467,6.6,7.6,4,5,6.93,100.0,1
STU_0468,6.9,7.5,1,1,7.74,100.0,1
STU_0469,4.5,6.8,1,4,7.55,100.0,1
STU_0470,4.5,7.3,1,5,8.63,100.0,1
STU_0471,5.0,9.0,4,2,9.26,100.0,1
STU_0472,2.8,7.7,4,1,10.0,100.0,1
STU_0473,2.8,6.8,2,4,7.34,100.0,1
STU_0474,8.0,6.6,1,3,8.17,100.0,1
STU_0475,8.5,7.0,1,5,9.59,100.0,1
STU_0476,5.1,9.2,6,2,9.63,100.0,1
STU_0477,6.5,7.0,4,1,6.75,100.0,1
STU_0478,6.1,7.2,2,2,8.51,100.0,1
STU_0479,11.0,6.6,1,1,8.31,100.0,1
STU_0480,7.5,8.5,2,7,8.91,100.0,1
STU_0481,5.3,9.6,2,3,9.29,100.0,0
STU_0482,7.6,7.7,1,7,9.825,100.0,1
STU_0483,2.6,7.3,0,1,6.97,84.0,1
STU_0484,5.9,7.2,0,2,8.89,100.0,1
STU_0485,4.1,4.3,1,5,7.98,100.0,1
STU_0486,2.9,8.1,2,6,5.13,100.0,1
STU_0487,4.3,7.4,3,5,5.8,100.0,1
STU_0488,3.6,7.7,0,3,,100.0,1
STU_0489,8.5,,0,5,8.81,100.0,1
STU_0490,7.1,6.7,4,3,6.18,100.0,1
STU_0491,5.5,6.7,5,2,9.12,100.0,1
STU_0492,8.2,8.4,2,3,7.56,100.0,1
STU_0493,5.6,6.7,1,2,6.57,100.0,1
STU_0494,3.9,9.7,1,5,7.13,100.0,1
STU_0495,8.2,7.7,2,4,6.33,100.0,0
STU_0496,6.5,5.7,1,4,,100.0,1
STU_0497,3.6,7.0,2,2,5.56,100.0,1
STU_0498,5.2,6.4,0,3,7.71,100.0,1
STU_0499,3.9,4.6,0,7,8.5,100.0,1
STU_0500,3.0,9.1,3,5,6.18,100.0,1
